Unnamed: 0.1,Unnamed: 0,Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,lonlat,In Use,lon,lat,bins2,bins3,Speed10m,Marker,Speed25m,speedCat
0,0,01015W4,2549,03/08/2005,Ecotricity,Stockton Wind Turbine,Wind Onshore,,,1.5,,,,,,2.0,,,Planning Permission Refused,Application Refused,,,"East of Layden Lane
Track
Norwich
Norfolk",Norfolk,Eastern,England,,639100.0,293300.0,South Norfolk Council,07/98/0343/f,,,,,,09/03/1998,,02/05/2001,,,,,,,,,,,,,"(1.5200882827789002, 52.48518717261479)",Refused,1.5200882827789002,52.48518717261479,10,Wind Onshore,1,y-up,1,5.5 - 6
1,1,01016W4,2550,02/05/2006,Western Windpower / Ecotricity,Brundish Wind Turbine,Wind Onshore,,,1.5,,,,,,,,,Planning Permission Refused,Application Refused,,,East of Brundish Road Stockton Norfolk,Norfolk,Eastern,England,,639700.0,294700.0,South Norfolk Council,07/98/0342/F,,,,,,09/03/1998,,02/05/2001,,,,,,,,,,,,,"(1.5299138526272271, 52.49748619906284)",Refused,1.5299138526272271,52.49748619906284,10,Wind Onshore,1,y-up,1,5.5 - 6
2,2,01022W5,2554,27/10/2009,ECONET LTD,Yare Estuary Wind Turbine,Wind Onshore,,,1.5,,,,,0.37,4.0,,,Abandoned,Abandoned,,,"South Denes Road, Great Yarmouth, Norfolk",Norfolk,Eastern,England,,653400.0,303800.0,Great Yarmouth Borough Council,,,,,,,21/05/1999,,,,,,,28/04/2000,,,,,,,,"(1.738229427414197, 52.57293372225703)",Granted,1.738229427414197,52.57293372225703,10,Wind Onshore,1,y-up,1,6 - 6.5
3,3,01023W5,2555,09/05/2013,Ecotricity,South Beach Wind Turbine (Somerton),Wind Onshore,,,1.5,,,,,1.47,1.0,,,Operational,Operational,,,"Somerton, Great Yarmouth, Norfolk",Norfolk,Eastern,England,,646953.0,318736.0,Great Yarmouth Borough Council,,,,,,,21/05/1999,,28/04/2000,,,,,,,,,,,22/07/2000,,"(1.6544623487086003, 52.70989416175131)",Operational,1.6544623487086003,52.70989416175131,10,Wind Onshore,1,y-up,1,6 - 6.5
4,4,01038W4,2556,04/12/2008,LRZ Ltd (Taken over by NOVERA),Swaffham 1 - Ecotech Wind Park,Wind Onshore,,,1.5,,,,,1.47,1.0,,,Operational,Operational,,,"East of West Acre Road
Swaffham
Norfolk",Norfolk,Eastern,England,,581585.0,309935.0,Breckland Council,,,,,,,02/03/1998,,,,,,,19/02/1999,,,,,,16/08/1999,,"(0.6832674613883247, 52.65672934377144)",Operational,0.6832674613883247,52.65672934377144,10,Wind Onshore,1,y-up,1,6 - 6.5
5,5,04011W3,2559,18/05/2006,Cynllun Trydan Gwynt,Mynydd Gorddu Wind Farm,Wind Onshore,,,10.2,,,,,0.54,19.0,,,Operational,Operational,,,Mynydd Gorddu Elerch Tal-y-Bont Dyfed,Dyfed,Wales,Wales,,266200.0,287200.0,Ceredigion County Council,,,,,,,04/01/1991,,,,,,,12/09/1991,,,,,,18/04/1998,,"(-3.971000532131067, 52.46629652214572)",Operational,-3.971000532131067,52.46629652214572,10,Wind Onshore,1,y-up,1,5.5 - 6
6,6,04022W4,2560,09/12/2003,Powergen Renewables Developments Ltd,Nant Carfan Wind Farm,Wind Onshore,,,20.8,,,,,,,,,Planning Permission Refused,Application Refused,,,"Machynlleth
Powys",Powys,Wales,Wales,,290400.0,308000.0,Powys County Council,,,,,,,20/04/1999,,23/05/2002,,,,,,,,,,,,,"(-3.6218231964252756, 52.65860912556116)",Refused,-3.621823196425276,52.65860912556116,10,Wind Onshore,1,y-up,1,6.5 - 7
7,7,04029W5,2561,29/06/2011,CELTPOWER LTD,Hirddywell Windfarm,Wind Onshore,,,14.8,,,,,,,,,Planning Application Withdrawn,Application Withdrawn,,,"Southwest Of Newtown, nr Llangurig, Powys",Powys,Wales,Wales,,302500.0,280000.0,Powys County Council,M/2000/0705,,,,,,30/08/2000,20/04/2007,,,,,,,,,,,,,,"(-3.4347668699562592, 52.409285247442966)",Withdrawn,-3.4347668699562592,52.409285247442966,10,Wind Onshore,1,y-up,1,8 - 9
8,8,04043W4,2563,22/04/2009,"Renewable Development Company Ltd, KENTECH Ltd",Cefn Croes Wind Farm,Wind Onshore,,,58.5,,,,,1.5,39.0,,,Operational,Operational,,,"Canolbarth Forest,  Devils Bridge  Ceredigion",Dyfed,Wales,Wales,,281000.0,280000.0,DECC (S36),AD00737,,,,,,24/07/2000,,,,,,,10/12/2001,,,,,,25/01/2005,,"(-3.750691129954679, 52.40502768181345)",Operational,-3.750691129954679,52.40502768181345,10,Wind Onshore,1,y-up,1,8 - 9
9,9,04050W3,2564,30/10/2011,RWE npower,Carno 'B' Wind Farm,Wind Onshore,,,16.8,,,,,0.6,28.0,,,Operational,Operational,,,"Trannon Moor, Carno, Powys",Powys,Wales,Wales,,291053.0,295836.0,Powys County Council,,,,,,,30/12/1993,,,,,,,18/08/1995,,,,,,01/10/1996,,"(-3.608162900298291, 52.54943253516271)",Operational,-3.608162900298291,52.54943253516271,10,Wind Onshore,1,y-up,1,7.5 - 8
10,10,04051W3,2565,30/10/2011,RWE npower,Carno 'A' Wind Farm,Wind Onshore,,,16.8,,,,,0.6,28.0,,,Operational,Operational,,,"Cwm Cledan
Carno
Powys",Powys,Wales,Wales,,293000.0,295000.0,Powys County Council,,,,,,,16/08/1993,,,,,,,18/08/1995,,,,,,01/10/1996,,"(-3.579191090523107, 52.542306419692125)",Operational,-3.579191090523107,52.542306419692125,10,Wind Onshore,1,y-up,1,6 - 6.5
11,11,04053W3,2566,03/02/2010,Vestas,Cemmaes 'B' Wind Farm,Wind Onshore,,,3.4,,,,,0.56,6.0,,,Operational,Operational,,,"Mynydd y Cemmaes
Cemmaes
Machynlleth
Powys",Powys,Wales,Wales,,287000.0,308000.0,Powys County Council,M/1996/0550,,,,,,04/09/1996,,,,,,,16/03/1999,,,,,,01/02/2002,,"(-3.6720677381405245, 52.65791061653896)",Operational,-3.672067738140525,52.65791061653896,10,Wind Onshore,1,y-up,1,6.5 - 7
12,12,04054W3,2567,09/12/2003,RWE npower,Trysglwyn Wind Farm,Wind Onshore,,,5.6,,,,,0.4,14.0,,,Operational,Operational,,,"Trysglwyn Fawr
Rhosybol
Isle of Anglesey
Gwynedd",Gwynedd,Wales,Wales,,244000.0,389000.0,Isle of Anglesey County Council,,,,,,,08/08/1992,,10/12/1993,,,,,,,,,,,01/05/1996,,"(-4.346466424972191, 53.374759720595314)",Operational,-4.346466424972191,53.374759720595314,10,Wind Onshore,1,y-up,1,6.5 - 7
13,13,04057W4,2568,03/10/2018,Private Developer,Hafoty Ucha '2' and '3' Wind Turbine,Wind Onshore,,,2.6,,,,,0.85,3.0,,,Operational,Operational,,,"3 km South of Cerrigydrudion
Llangwm",Clwyd,Wales,Wales,,293500.0,345500.0,Conwy County Borough Council,0/25079,,,,,,02/07/2001,,,,,,,17/10/2001,,,,,,15/12/2002,,"(-3.5882564842916334, 52.996202280528635)",Operational,-3.5882564842916334,52.99620228052864,10,Wind Onshore,1,y-up,1,5.5 - 6
14,14,04066W3,2570,02/12/2014,Windjen,Mynydd Glyn Lws Wind Farm,Wind Onshore,,,3.6,,,,,,,,,Planning Permission Refused,Application Refused,,,Mynydd Glyn Lws Betws-yn-Rhos Clwyd,Clwyd,Wales,Wales,,289000.0,371200.0,Conwy County Borough Council,,,,,,,27/03/1995,,27/11/2000,,,,,,,,,,,,,"(-3.664169696575102, 53.22620804993619)",Refused,-3.664169696575102,53.22620804993619,10,Wind Onshore,1,y-up,1,7 - 7.5
15,15,0406AW4,2573,29/03/2005,WINDJEN POWER LTD,Mynydd Llanelian Wind Farm,Wind Onshore,,,6.5,,,,,,,,,Planning Permission Refused,Application Refused,,,"5 km South of Colwyn Bay, Conwy",Clwyd,Wales,Wales,,284500.0,374500.0,Conwy County Borough Council,,,,,,,02/02/2001,,15/06/2001,,,,,,,,,,,,,"(-3.7327414509886525, 53.25489739177646)",Refused,-3.732741450988653,53.25489739177646,10,Wind Onshore,1,y-up,1,8 - 9
16,16,04076W3,2574,10/02/2003,Mersey Docks and Harbour Company and Windcluster Limited,Royal Seaforth Dock Wind Farm,Wind Onshore,,,3.0,,,,,0.5,6.0,,,Operational,Operational,,,"Royal Seaforth Dock Port of Liverpool Bootle, Sefton Merseyside",Merseyside,North West,England,,331100.0,397000.0,Sefton Council,,,,,,,12/10/1995,,22/08/1997,,,,,,,,,,,24/04/1999,,"(-3.039310375389965, 53.46521442955133)",Operational,-3.039310375389965,53.46521442955133,10,Wind Onshore,1,y-up,1,6 - 6.5
