SiteFunctionalLocation,LicenceArea,SiteName,SiteType,SiteVoltage,ESQCROverallRisk,GridRef,SiteAssetCount,PowerTransformerCount,ElectricalAssetCount,CivilAssetCount,Longitude,Latitude,Street,Suburb,TownCity,County,PostCode,YearCommissioned,DateCommissioned,SiteClassification,AssessmentDate,Last_Report,CalculatedResistance,MeasuredResistance(Ohm),Next_AssessmentDate,Easting,Northing,transratingwinter,transratingsummer,reversepower,maxdemandsummer,maxdemandwinter,Spatial Coordinates,local_authority,local_authority_code
EPN-S0000000C1041,Eastern Power Networks (EPN),CLIFF QUAY GRID 132KV,Grid Substation,132,High,TM17074204,73,0,73,0,1.16325674714046,52.0342568413421,,,IPSWICH SOUTH,Suffolk,IP3 0BS,NA,2017-04-01,NA,,NA,NA,,2037-12-12,617070,242040,"78, 78, 78","60, 60, 60",100%,NA,NA,"52.0342568413421,1.16325674714046",Ipswich,E07000202
EPN-S0000000C3027,Eastern Power Networks (EPN),CLACTON GRID 132kV,Grid Substation,132,Very High,TM1917618947,120,0,81,39,1.17921285923585,51.8261259348637,,,GREAT HOLLAND,Essex,CO16 9QG,2000,1960-04-01,COLD,2013-09-05,P-13-2977-01,0.03Ω 0.50Deg,,2025-01-11,619176,218947,"78, 78","60, 60",100%,NA,NA,"51.8261259348637,1.17921285923585",Tendring,E07000076
EPN-S0000000C3044,Eastern Power Networks (EPN),COLCHESTER GRID 132kV,Grid Substation,132,Very High,TM0181824012,139,0,53,86,0.930644018487967,51.8781404070326,HAVEN ROAD,,COLCHESTER EAST,Essex,CO2 8GY,1982,1950-04-01,HOT,2016-08-11,ESL1519024-R01 RA,0.60Ω 0.00Deg,0.22,2027-01-11,601818,224012,"117, 117, 39, 39","90, 90, 30, 30",100%,NA,NA,"51.8781404070326,0.930644018487967",Colchester,E07000071
EPN-S0000000C3048,Eastern Power Networks (EPN),LAWFORD GRID 132kV,Grid Substation,132,Very High,TM0770628547,536,0,425,111,1.0187895235319,51.9166973149882,,,LITTLE BROMLEY,Essex,CO11 2QA,1960,1960-04-01,COLD,2014-04-17,ESL0042-11448,0.10Ω 5.20Deg,,2027-01-11,607706,228547,"59, 59, 59","45, 45, 45",100%,NA,NA,"51.9166973149882,1.0187895235319",Tendring,E07000076
EPN-S0000000C3060,Eastern Power Networks (EPN),CUT THROAT LANE SW STN 132kV,Grid Substation,132,Medium,TL0359350614,65,0,44,21,-0.487560974854412,52.1441124704528,CUT THROAT LANE,,BEDFORD,Bedfordshire,MK40 2BQ,2011,2011-04-01,COLD,2022-08-17,ELP07260027-R01,0.18Ω 0.00Deg,0.09,2038-01-07,503593,250614,NA,NA,NA,NA,NA,"52.1441124704528,-0.487560974854412",Bedford,E06000055
EPN-S0000000C4055,Eastern Power Networks (EPN),LITTLE BARFORD 132kV,Grid Substation,132,Medium,TL1817557976,1065,0,1001,64,-0.272003403194028,52.2073460897954,,,LITTLE BARFORD,Bedfordshire,PE19 6YQ,1961,1938-04-01,COLD,2014-10-20,ELP0308-R01,0.09Ω 10.12Deg,0.07,2038-01-07,518175,257976,"117, 39, 39, 26, 26","90, 30, 30, 21, 21",100%,NA,NA,"52.2073460897954,-0.272003403194028",Bedford,E06000055
EPN-S0000000C4068,Eastern Power Networks (EPN),HUNTINGDON GRID 132kV,Grid Substation,132,High,TL2384173000,59,0,28,31,-0.183618102378877,52.3411055103611,ST PETERS ROAD,HUNTINGDON,BEDFORD,Cambridgeshire,PE29 7AE,1968,1968-04-01,COLD,2022-06-21,ELP07260015-R01,0.09Ω 0.00Deg,0.11,2038-01-07,523841,273000,"117, 117","90, 90",100%,NA,NA,"52.3411055103611,-0.183618102378877",Huntingdonshire,E07000011
EPN-S0000000C4146,Eastern Power Networks (EPN),VINE SOLAR,Grid Substation,132,Low,TL3267947391,41,0,39,2,-0.0640028556710319,52.1089392727796,VINE SOLAR FARM CHURCH LANE,SHINGAY-CUM-WENDY,NR ROYSTON,Cambridgeshire,SG8 0HJ,NA,2016-04-01,NA,,NA,NA,,2033-01-11,532679,247391,NA,NA,NA,NA,NA,"52.1089392727796,-0.0640028556710319",South Cambridgeshire,E07000012
EPN-S0000000C5015,Eastern Power Networks (EPN),EARLHAM 132kV,Grid Substation,132,High,TG18500837,458,0,418,40,1.22715148476072,52.6290809687739,EARLHAM 132 GIS OLD WATTON ROAD,EARLHAM,NORWICH,Norfolk,NR5 8NQ,2011,2010-04-01,HOT,2017-04-06,ESL1992015-R01,0.74Ω 0.00Deg,0.13,2030-01-11,618500,308370,"117, 117","90, 90",100%,NA,NA,"52.6290809687739,1.22715148476072",South Norfolk,E07000149
EPN-S0000000C5078,Eastern Power Networks (EPN),GT YARMOUTH PWR ST 132kV,Grid Substation,132,Low,TG5290504995,226,0,198,28,1.73185248561281,52.5838839076552,,,GREAT YARMOUTH SOUTH,Norfolk,NR30 3PY,NA,1999-04-01,COLD,2012-04-04,P-12-1565-01,NA,0.07,2029-01-11,652905,304995,NA,NA,NA,NA,NA,"52.5838839076552,1.73185248561281",Great Yarmouth,E07000145
