,Generator Name,1
2,Beatrice Offshore Windfarm,41000
3,Burbo Bank Extension Offshore,126000
4,Dudgeon Offshore,315000
5,East Anglia 1 Offshore,614000
6,Galloper Wind Farm,195000
7,Greater Gabbard,234000
8,Gunfleet Sands I,71000
9,Gwynt y Mor,298000
10,Hornsea Offshore,1042000
11,Humber Gateway Offshore Wind Farm,177000
12,Lincs Wind Farm,218000
13,London Array Offshore Windfarm,360000
14,Race Bank,446000
15,Rampion,45000
16,Robin Rigg Offshore Wind Farm (West),38000
17,Thanet Offshore Wind Farm,88000
18,Triton Knoll,729000
19,Walney Extension Offshore,252000
20,Walney Offshore Wind Phase I,61000
21,Walney Offshore Wind Phase II,71000
22,West of Duddon Sands Offshore Wind Farm,158000
23,Westermost Rough,166000
