Site Name,Generator Name Fake,Score,Position,Generator Name
A'Chruach (Phase 1),A'Chruach   Limited,65,90,A'Chruach Wind Farm Limited
Accolade Wines,Accolade Wines 2,93,554,Accolade Wines 2
Achairn,Achany ,77,72,Achairn Energy
Achany Wind Farm,Achany ,100,72,Achany Windfarm
Achlachan Wind Farm,Achlachan  ,100,291,Achlachan Wind Farm
PROMISED LAND FARM,AFTON WIND FARM,55,53,AFTON WIND FARM
Afton Wind Farm,Melton  ,55,489,AFTON WIND FARM
"Aikengall II, Wester Dod Community Wind Farm",Neilston Community  ,58,321,Aikengall II Windfarm
Aikengall,Aikengall ,100,40,Aikengall Windfarm
Airies Farm,Airies  ,100,113,Airies Wind Farm
East Youlstone Wind Farm,Great Orton,64,823,Airvolution Energy (East Youlstone) Limited
Garlenick Estate 2 - Wind Turbines,Harestanes ,48,15,Airvolution Energy (Garlenick) Limited
M1 J18 Wind Turbines,Clyde  (South),36,8,Airvolution Energy (M1J18) Limited
Allt Dearg Wind Farmers LLP,Allt Dearg  ers LLP,100,207,Allt Dearg Wind Farmers LLP
Glenconway 2 (formerly Altahullion Phase III),Walney Offshore  Phase II,52,1718,Altahullion Wind Farm
Altahullion Phase II,Altahullion  ,71,164,Altahullion Wind Farm
Altahullion,Altahullion  ,100,164,Altahullion Wind Farm
Altamuskin Extension,Maesgwyn Extension.,68,531,Altamuskin Wind Farm
Altamuskin,Altamuskin  ,100,296,Altamuskin Wind Farm
Altaveedan Wind Farm,Altaveedan  ,100,156,Altaveedan Wind Farm
Alveston Wind Park,Alveston  Park Limited,78,494,Alveston Wind Park Limited
An Suidhe,An Suidhe  ,100,293,An Suidhe Wind Farm
Andershaw,Andershaw  ,100,73,Andershaw Wind farm
Upper Ardgrain Wind Farm,Ardgrain  Cluster,52,580,Ardgrain Wind Cluster
Ardrossan,Carland Cross ,64,521,Ardrossan Windfarm (Scotland) Ltd - A
Ardrossan Extension,Maesgwyn Extension.,70,531,Ardrossan Windfarm (Scotland) Ltd - A
Arecleoch Windfarm,Arecleoch,100,20,Arecleoch
Ark Hill,Ark Hill  ,100,423,Ark Hill Wind Farm
Armistead Wind Farm,Armistead  ,100,316,Armistead Wind Farm
Arnish Moor,Arnish Moor  - A,81,672,Arnish Moor Windfarm - A
Artfield Fell,"Artfield Fell  - A,C",79,153,"Artfield Fell Windfarm - A,C"
Assel Valley Wind Farm,Assel Valley  ,100,115,Assel Valley Wind Farm
Auchadaduie Wind Farm,Auchadaduie  ,100,399,Auchadaduie Wind Farm
Auchinderran Wind Farm,Auchinderran1,96,581,Auchinderran1
Auchrobert Wind Farm,Auchrobert  ,100,84,Auchrobert Wind Farm
Bad a Cheo Wind Farm,Bad a Cheo  ,100,138,Bad a Cheo Wind Farm
Bagmoor,Bagmoor  ,100,237,Bagmoor Wind Farm
Baillie Wind Farm,Baillie  ,100,49,Baillie Wind farm
Ballymena Wind Park Limited,Ballymena  Park Limited,100,524,Ballymena Wind Park Limited
Bambers Farm,Seamer  ,62,344,Bamber's Farm Wind Park Ltd - A
Bankend Rig,Bankend Rig ,100,289,Bankend Rig Windfarm
Barlockhart Moor,Barlockhart Moor  Energy Limited,67,323,Barlockhart Moor Wind Energy Limited
Barmoor South Wind Farm ,Barmoor,70,246,Barmoor
Barns of Ayre Wind Turbines (2),Barns of Ayre,81,558,Barns of Ayre
Batsworthy Cross,Batsworthy Cross  ,100,232,Batsworthy Cross Wind Farm
Bears Down Wind Farm,Bears Down Reservoir,67,336,Bears Down Reservoir
Beck Burn ,Beckburn  ,94,161,Beckburn Wind Farm
Beckton Sewage Treatment Works,"Loftsome Bridge Water treatment Works - A, D (24/09/2007)",51,645,Beckton STW wind turbine
Beinn an Tuirc Phase 2,Beinn an Tuirc  Extension,68,63,Beinn an Tuirc Windfarm Extension
Beinn an Tuirc,Beinn an Tuirc  Extension,72,63,Beinn an Tuirc Windfarm Extension
Beinn Ghlas Wind Farm,Beinn Ghlas ,100,366,Beinn Ghlas Windfarm
Point Wind / Beinn Ghrideag Farm,Beinn Ghrideag  ,76,588,Beinn Ghrideag wind farm
Beinn Tharsuinn Extension (Beinn nan Oighrean),Beinn nan Oighrean (Beinn Tharsuinn Extension),56,490,Beinn nan Oighrean (Beinn Tharsuinn Extension)
Beinn Tharsuinn Windfarm Project,"Beinn Tharsuin   - A,E",74,129,"Beinn Tharsuin Wind Farm - A,E"
Beinneun Windfarm Extension,Beinn an Tuirc  Extension,77,63,Beinneun Wind Farm
Beinneun,Beinneun  ,100,13,Beinneun Wind Farm
Ben Aketil Extension,Beinn an Tuirc  Extension,76,63,Ben Aketil Wind Farm
Ben Aketil,Ben Aketil  ,100,87,Ben Aketil Wind Farm
"Bendealt Wind Farm, Highland",Bendealt (Novar) ,63,369,Bendealt (Novar) Windfarm
Weston Airfield Wind Turbines,Spaldington Airfield   (1),70,313,Bernard Matthews Wind Farm Weston LLP
Berry Burn,Berry Burn  ,100,35,Berry Burn Wind Farm
Bessy Bell Extension,Bessy Bell II,73,349,Bessy Bell II
Bessy Bell Wind Farm,Bessy Bell ,100,474,Bessy Bell Windfarm
Bhlaraidh (previously Balmacaan),Bhlaraidh  ,45,16,Bhlaraidh Wind Farm
Bicker Fen,Bicker,75,149,Bicker
Bilbster Wind Farm,Bilsthorpe  ,67,388,"Bilbster Wind Farm, (14/12/07)"
Stonish Hill (Bilsthorpe),Bilsthorpe  ,59,388,Bilsthorpe Wind Farm
Bin Mountain,Long Mountain,80,180,Bin Mountain Wind Farm (NI) Ltd - A (5/2/07)
Bishopthorpe,Bishopthorpe,100,171,Bishopthorpe
Black Hill (Borders),Black Hill   - A,69,114,Black Hill Wind Farm - A
Black Law Extension - 1a,BLACK LAW EXTENSION,88,85,BLACK LAW EXTENSION
Black Law Extension - 1b,BLACK LAW EXTENSION,88,85,BLACK LAW EXTENSION
Black Law,"Black Law  - A,C",72,42,"Black Law Windfarm - A,C"
Blackcraig,Blackcraig  ,100,29,Blackcraig Wind Farm
Blackstone Edge,Blackstone Edge,100,416,Blackstone Edge
Blaen Bowi Wind Farm,Blaen Bowi cluster,71,568,Blaen Bowi Windcluster
Blantyre Muir Wind Farm,Blantyre Muir  Energy Ltd,68,238,Blantyre Muir Wind Energy Ltd
Blantyre Muir Wind Farm extension,Beinn an Tuirc  Extension,72,63,Blantyre Muir Wind Energy Ltd
Bloodhills - repowering,Coal Clough Repowering,62,204,Blood Hill Wind Farm - A
Blood Hill Wind Farm,Blood Hill  ,100,661,Blood Hill Wind Turbine
Blyth Harbour Wind Farm,Blyth Harbour   - A,81,500,Blyth Harbour Wind Farm - A
Blyth Harbour Wind Farm (re-power),Blyth Harbour   - A,82,500,Blyth Harbour Wind Farm - A
Boardinghouse Wind Farm,Boardinghouse  Limited,74,282,Boardinghouse Windfarm Limited
Boddington Reservoir,Bears Down Reservoir,65,336,Boddington Renewables Limited
Bogenlea Farm,Bogenlea  ,100,559,Bogenlea Wind Turbine
Bonerbo Wind Turbines,Boyndie - A,57,205,Bonerbo Renewable
