Site Name,Generator Name Fake,Score,Position,Generator Name,Unnamed: 0_x,web-scraper-order,web-scraper-start-url,IDRO ID,Country,IC (kW),Technology,Subsidy,Accreditation,CommissionedDate,RLF,ALF,LatestData,Latest MWh pa,Latest ROCs pa,years,load factor difference,IC kW,Commissioned,Latest MWh,Unnamed: 0.2,Unnamed: 0_y,Speed25m,WKT,WKT2,lat,lon,bins2,bins3,Unnamed: 0.1,Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine (MW),No.,Height (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country_y,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,lonlat,In Use,Speed10m,Marker,speedCat
A'Chruach (Phase 1),A'Chruach   Limited,65,90,A'Chruach Wind Farm Limited,1690,1667294215-7068,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00238SQSC,Scotland,42600,On-shore wind,RO,2016-01-20,2016-01-20,0.27,0.2,2021-12-01,72736,48900,6.0,0.7142857142857143,,,,911454,1454,1.0,,,56.15276760132366,-5.310216220516907,10,Wind Onshore,1454.0,EN00386,4331.0,04/04/2017,Infinis (formerly Novera Energy),Wind Onshore,,,48.3,,,,,2.3,21.0,,,Operational,Operational,,,"Land At A'Cruach
Kilmichael Forest
West Of Minard
Argyll",Strathclyde,Scotland,Scotland,,194500.0,700500.0,Argyll and Bute Council,11/02520/PP,,,,,,22/12/2011,,,,,,,27/06/2012,,,,,04/06/2015,29/06/2016,,"(-5.310216220516907, 56.15276760132366)",Operational,1.0,y-up,7 - 7.5
Accolade Wines,Accolade Wines 2,93,554,Accolade Wines 2,1154,1667294190-6532,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=500,G03048NWEN,England,2500,On-shore wind,FiT,2019-05-28,2019-05-28,0.31,0.27,2021-12-01,5879,0,3.0,0.8535031847133758,,,,911956,1956,1.0,,,51.516993524383885,-2.6890706101627475,10,Wind Onshore,1956.0,,6293.0,23/05/2019,Clean Earth Energy,Wind Onshore,,,2.5,,,,,1.5,1.0,130.0,,Operational,Operational,,,"Accolade Wines, Kings Weston Lane, Avonmouth, Bristol, Avon",Avon,South West,England,BS11 9FG,352283.0,180011.0,Bristol City Council,17/02240/F,,,,,,21/04/2017,,,,,,,01/09/2017,,,,01/09/2020,01/02/2019,15/06/2019,,"(-2.6890706101627475, 51.516993524383885)",Operational,1.0,y-up,5.5 - 6
Achairn,Achany ,77,72,Achairn Energy,1204,1667294195-6582,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=400,R00116SQSC,Scotland,6000,On-shore wind,RO,2009-05-14,2009-05-14,0.31,0.28,2021-10-01,14500,14500,13.0,0.8846153846153847,,,,910528,528,1.0,,,58.43851819897462,-3.201506235112556,10,Wind Onshore,528.0,N00537W,3285.0,09/06/2010,Messrs James and Ronald Innes,Wind Onshore,,,6.2,,,,,2.05,3.0,,,Operational,Operational,,,"West of Wick, Caithness",Highland,Scotland,Scotland,,329950.0,950650.0,Highland Council,CA2004366,,,,,,11/08/2004,,,,,,,01/03/2006,,,,,01/04/2009,20/05/2009,,"(-3.201506235112556, 58.43851819897462)",Operational,1.0,y-up,6.5 - 7
Achany Wind Farm,Achany ,100,72,Achany Windfarm,1672,1667294215-7050,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00135SQSC,Scotland,38950,On-shore wind,RO,2010-06-18,2010-06-18,0.24,0.25,2021-10-01,83897,83897,12.0,1.0081967213114755,,,,910457,457,1.0,,,58.00194773414335,-4.500008297556101,10,Wind Onshore,457.0,N00222W,3205.0,08/08/2011,Scottish and Southern Energy (SSE),Wind Onshore,,,38.0,,,,,2.0,19.0,,,Operational,Operational,,,"Albany Estate, Achany, Lairg, Highlands, IV27 4",Highland,Scotland,Scotland,,252350.0,904150.0,Highland Council,,,,,,,28/10/2005,,01/08/2006,,,,14/09/2007,14/09/2007,,,,,01/04/2009,11/10/2010,,"(-4.500008297556101, 58.00194773414335)",Operational,1.0,y-up,7.5 - 8
Achlachan Wind Farm,Achlachan  ,100,291,Achlachan Wind Farm,1491,1667294205-6869,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=200,ACH,Scotland,10000,On-shore wind,CfD,,2019-04-08,0.32,0.28,2022-01-01,24331,0,3.0,0.879746835443038,,,,911453,1453,1.0,,,58.44892061058486,-3.4545928788583224,10,Wind Onshore,1453.0,C1202,4330.0,24/06/2019,Whirlwind Renewables,Wind Onshore,,,10.0,,,,10.0,2.0,5.0,115.0,,Operational,Operational,,,Achlachan Windfarm Watten,Highland,Scotland,Scotland,,315200.0,952100.0,Highland Council,13/01190/FUL,,,,,,11/04/2013,,,,,,,13/11/2013,,,,20/09/2020,15/10/2016,08/04/2019,,"(-3.4545928788583224, 58.44892061058486)",Operational,1.0,y-up,7 - 7.5
PROMISED LAND FARM,AFTON WIND FARM,55,53,AFTON WIND FARM,1653,1667294215-7031,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00329SQSC,Scotland,51750,On-shore wind,RO,2018-02-22,2018-02-22,0.3,0.23,2021-12-01,102763,67661,4.0,0.7566666666666666,,,,910582,582,1.0,,,53.51133071522702,-2.7378047385877795,10,Wind Onshore,582.0,C1509,3361.0,23/02/2017,Private Developer,Wind Onshore,,,1.0,,,,,0.5,2.0,,,Operational,Operational,,,"PROMISED LAND FARM, CRANK ROAD, KINGS MOSS, ST HELENS, LANCASHIRE, WA11 8RW",Merseyside,North West,England,,351169.0,401881.0,St Helens Council,P/2013/0373,,,,,,15/05/2013,,,,,,,15/10/2013,,,,,22/09/2014,22/10/2014,,"(-2.7378047385877795, 53.51133071522702)",Operational,1.0,y-up,7 - 7.5
Afton Wind Farm,Melton  ,55,489,AFTON WIND FARM,1653,1667294215-7031,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00329SQSC,Scotland,51750,On-shore wind,RO,2018-02-22,2018-02-22,0.3,0.23,2021-12-01,102763,67661,4.0,0.7566666666666666,,,,911390,1390,1.0,,,55.3116001968864,-4.17428302347659,10,Wind Onshore,1390.0,N00302W,4262.0,02/10/2018,InfraRed Capital Partners/ E.on,Wind Onshore,,,50.0,,,,,2.75,25.0,120.0,,Operational,Operational,,,To the south west of New Cumnock adjacent to Afton reservoir,Strathclyde,Scotland,Scotland,,262100.0,604100.0,Scottish Government (S36),,,,,,,03/11/2004,,,,,,,16/10/2014,,,,,16/08/2016,15/02/2018,,"(-4.17428302347659, 55.3116001968864)",Operational,1.0,y-up,6.5 - 7
"Aikengall II, Wester Dod Community Wind Farm",Neilston Community  ,58,321,Aikengall II Windfarm,1618,1667294215-6996,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00251SQSC,Scotland,60800,On-shore wind,RO,2017-10-25,2017-10-25,0.42,0.35,2021-12-01,187014,134854,5.0,0.8297872340425533,,,,911455,1455,1.0,,,55.91720873381598,-2.4900662877040944,10,Wind Onshore,1455.0,A0168,4332.0,04/10/2021,Community Windpower,Wind Onshore,,,60.8,No,,,,3.2,19.0,145.0,,Operational,Operational,,,East Lothian.,Lothian,Scotland,Scotland,,369468.0,669455.0,Scottish Government (S36),,,,,,,02/09/2009,,,,,,,01/03/2013,,,,,01/09/2014,15/11/2017,,"(-2.4900662877040944, 55.91720873381598)",Operational,1.0,y-up,7 - 7.5
Aikengall,Aikengall ,100,40,Aikengall Windfarm,1640,1667294215-7018,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00095SQSC,Scotland,48000,On-shore wind,RO,2008-11-01,2008-11-01,0.34,0.3,2021-12-01,127255,97498,14.0,0.8911764705882352,,,,911627,1627,1.0,,,55.91720873381598,-2.4900662877040944,10,Wind Onshore,1627.0,N00542W,4526.0,25/09/2014,Community Wind Power,Wind Onshore,,,48.0,,,,,3.0,16.0,,,Operational,Operational,,,"Aikengall
Nr Innerwick
Dunbar
East Lothian
EH42 1SG",Lothian,Scotland,Scotland,,369468.0,669455.0,East Lothian Council,05/00216/FUL,,,,,,24/02/2005,,,,,,,16/03/2007,,,,,,01/11/2008,,"(-2.4900662877040944, 55.91720873381598)",Operational,1.0,y-up,7 - 7.5
Airies Farm,Airies  ,100,113,Airies Wind Farm,1513,1667294210-6891,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=100,R00324SQSC,Scotland,39900,On-shore wind,RO,2017-03-15,2017-03-15,0.21,0.18,2021-12-01,61064,41927,5.0,0.8293838862559241,,,,911574,1574,1.0,,,54.80205080549759,-4.657736096679616,10,Wind Onshore,1574.0,B0333,4462.0,06/08/2020,NTR,Wind Onshore,,,35.0,,,,,2.9,14.0,137.0,,Operational,Operational,,,"Airies Farm, Glenluce ",Dumfries and Galloway,Scotland,Scotland,DG8 8AL,229266.0,548481.0,Dumfries and Galloway Council,12/P/1/0271,,,,,,24/08/2012,,,,,,,01/03/2013,,,,,08/02/2016,15/03/2017,,"(-4.657736096679616, 54.802050805497586)",Operational,1.0,y-up,7.5 - 8
