Unnamed: 0,web-scraper-order,web-scraper-start-url,IDRO ID,Generator Name,Country,IC (kW),Technology,Subsidy,Accreditation,CommissionedDate,RLF,ALF,LatestData,Latest MWh pa,Latest ROCs pa,years,load factor difference,IC kW,Commissioned,Latest MWh
1600,1667294215-6978,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00210RQWA,Pen y Cymoedd Wind Farm,Wales,228000,On-shore wind,RO,2016-10-17,2016-10-17,0.316,0.296,2021-09-01,590665,531604.0,6.0,0.9367088607594938,,,
1601,1667294215-6979,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00332SQSC,Stronelairg Wind Farm,Scotland,227700,On-shore wind,RO,2018-03-24,2018-03-24,0.27,0.28,2021-10-01,557883,502100.0,4.0,1.037037037037037,,,
1602,1667294215-6980,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00316SQSC,Kilgallioch,Scotland,248540,On-shore wind,RO,2016-12-15,2016-12-15,0.242,0.24,2021-11-01,523489,426208.0,6.0,0.9917355371900828,,,
1603,1667294215-6981,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00089SQSC,Whitelee Windfarm,Scotland,322000,On-shore wind,RO,2007-12-14,2007-12-14,0.209,0.165,2021-11-01,464841,401970.0,15.0,0.7894736842105264,,,
1604,1667294215-6982,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00187SQSC,Clyde Windfarm (North),Scotland,197700,On-shore wind,RO,2012-08-01,2012-06-01,0.312,0.264,2021-10-01,456525,435837.0,10.0,0.8461538461538461,,,
1605,1667294215-6983,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00173SQSC,Clyde Windfarm (Central),Scotland,195900,On-shore wind,RO,2012-01-17,2011-10-06,0.28,0.248,2021-10-01,424956,406910.0,11.0,0.8857142857142857,,,
1606,1667294215-6984,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,DOR,Dorenell Wind Farm,Scotland,173700,On-shore wind,CfD,,2018-12-20,0.293,0.205,2022-01-01,312496,0.0,4.0,0.6996587030716723,,,
1607,1667294215-6985,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00161SQSC,Fallago Rig,Scotland,144000,On-shore wind,RO,2013-01-24,2013-01-24,0.287,0.245,2021-10-01,308815,308815.0,9.0,0.853658536585366,,,
1608,1667294215-6986,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00165SQSC,Clyde Windfarm (South),Scotland,128800,On-shore wind,RO,2011-07-01,2011-07-01,0.268,0.259,2021-05-01,292098,292098.0,11.0,0.9664179104477612,,,
1609,1667294215-6987,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00169SQSC,Whitelee Windfarm Extension,Scotland,217000,On-shore wind,RO,2011-12-09,2011-12-09,0.171,0.151,2021-11-01,286238,247363.0,11.0,0.8830409356725145,,,
1610,1667294215-6988,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00103SQSC,Crystal Rig II Wind Farm,Scotland,138000,On-shore wind,RO,2009-12-16,2009-12-16,0.297,0.2319999999999999,2021-09-01,280930,280930.0,13.0,0.7811447811447811,,,
1611,1667294215-6989,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00160SQSC,Griffin & Calliachar Wind Farm,Scotland,188600,On-shore wind,RO,2011-07-05,2011-07-05,0.191,0.15,2021-10-01,247963,247963.0,11.0,0.7853403141361256,,,
1612,1667294215-6990,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00312SQSC,Dunmaglass Wind Farm,Scotland,94050,On-shore wind,RO,2016-09-13,2016-09-13,0.301,0.282,2021-10-01,232212,208993.0,6.0,0.93687707641196,,,
1613,1667294215-6991,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00262SQSC,Beinneun Wind Farm,Scotland,110080,On-shore wind,RO,2017-02-09,2017-02-09,0.228,0.214,2021-09-01,206536,185884.0,5.0,0.93859649122807,,,
1614,1667294215-6992,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,CLO,Clocaenog Forest Wind Farm,Wales,95680,On-shore wind,CfD,,2019-10-31,0.261,0.2339999999999999,2022-01-01,195942,0.0,3.0,0.8965517241379309,,,
1615,1667294215-6993,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00224SQSC,Harestanes Windfarm,Scotland,140760,On-shore wind,RO,2013-09-20,2013-09-20,0.171,0.154,2021-11-01,190220,171079.0,9.0,0.9005847953216374,,,
1616,1667294215-6994,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00321SQSC,Bhlaraidh Wind Farm,Scotland,110400,On-shore wind,RO,2017-03-02,2017-02-17,0.201,0.195,2021-10-01,188553,169699.0,5.0,0.9701492537313432,,,
1617,1667294215-6995,https://www.ref.org.uk/generators/search.php?TechGroup=WD&TechCode=NW&order=14&dir=desc&start=0,R00170SQSC,Gordonbush Wind Farm,Scotland,71750,On-shore wind,RO,2011-12-13,2011-11-14,0.273,0.299,2021-10-01,188118,188118.0,11.0,1.0952380952380951,,,
