Area,Primary Substation Name,GSP Parent,BSP Parent,Break Fault Level vs Rating (kA),Location Latitude,Location Longitude,Location Grid Ref,Nameplate Rating (MVA),Sum of quoted generation (MVA),Minimum Load (MW),Maximum Load (MW),Contracted Generation (MVA),Available Headroom Capacity (MVA),Reverse Powerflow Capability (%),Upstream status,Transmission Works,Transmission reinforcement date,Downstream status,Distribution Works,Distribution reinforcement date,SoW needed?,Part of SWAN?,Other constraints,Voltage (kV),Site Classification
ENGLAND,ALDERNEY,MANNINGTON GSP,BOURNEMOUTH,13.05/13.1,50.755851,-1.940832,SZ 04270 95141,24,0,3.3934049603,19.5796666327,9.27,19,50,Unconstrained,,,Constrained,,,Yes,Yes,Proximity to fault rating.,33/11,Red
ENGLAND,ALDERSHOT,FLEET BRAMLEY,ALDERSHOT,17.18/25.0,51.232226,-0.76998103,SU 85976 48834,19.5,0,2.9721119404,13.3548825314,2.4,19,50,Unconstrained,,,Unconstrained,,,Yes,Yes,Fleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinf required at Fleet GSP. Fleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinf required at Fleet GSP,33/11,Red
ENGLAND,ALDERTON,MELKSHAM,CHIPPENHAM,3.23/13.1,51.555203,-2.2233876,ST 84609 84059,3,0,0.6488656998,3.3082611406,0,0.15,50,Constrained,,,Constrained,,,Yes,No,Constrained due to upstream thermal limitations.,33/11,Red
ENGLAND,ALRESFORD,FLEET BRAMLEY,ALTON & FERNHURST,6.42/13.1,51.088816,-1.1491999,SU 59684 32511,13,0,2.62,12.016496,0,20,50,Constrained,,,Unconstrained,,,Yes,Yes,33kV circuit reinforcement is required for any new connction. Fleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP,33/11,Red
ENGLAND,ALTON LOCAL,FLEET BRAMLEY,ALTON & FERNHURST,10.04/13.1,51.151139,-0.96575932,SU 72434 39606,37.5,0,7.13,29.466836929,0.25,5,50,Unconstrained,,,Unconstrained,,,Yes,Yes,Fleet GSP 132kV switchgear saturated for fault level capacity. 132kV reinforcement required at Fleet GSP,33/11,Red
ENGLAND,ANDOVER,MELKSHAM,ANDOVER,8.78/25.0,51.217904,-1.4968164,SU 35240 46643,30,0,2.1643071175,8.5253225668,0,0,50,Constrained,,,Unconstrained,,,Yes,No,"Thermal constraint on upstream 132kV system with no remaining headroom. NG reinf works required for Melksham SGT capacity constraints, estimated connection date for new applications is 2025-2027.",33/11,Red
ENGLAND,ANDOVER EAST,MELKSHAM,ANDOVER,8.61/13.1,51.215843,-1.4579957,SU 37953 46433,30,0,5.3984928131,19.2973725183,0,0,50,Constrained,,,Unconstrained,,,Yes,No,"Thermal constraint on upstream 132kV system with no remaining headroom. NG reinf works required for Melksham SGT capacity constraints, estimated connection date for new applications is 2025-2027.",33/11,Red
ENGLAND,ANDOVER TOWN,MELKSHAM,ANDOVER,8.91/16.0,51.203772,-1.483129,SU 36207 45078,10,0,2.0512528419,8.21554969,0,0,50,Constrained,,,Unconstrained,,,Yes,No,"Thermal constraint on upstream 132kV system with no remaining headroom. NG reinf works required for Melksham SGT capacity constraints, estimated connection date for new applications is 2025-2027.",33/11,Red
ENGLAND,ARBORFIELD,BRAMLEY (BASI),BASINGSTOKE T1B & T2B,4.34/13.1,51.385867,-0.90996432,SU 75949 65766,18,0,1.5126516805,0,2.44,17,50,Constrained,,,Partially Constrained,,,Yes,No,"Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.Connections might not possible prior to Bramley Green-Arborfield reconfiguration.
Rein required at Arborfield and the 33kV circuits from Little Hungerford to accommodate connection. Voltage Issues.",33/11,Amber
ENGLAND,ARGYLE ROAD,LOVEDEAN,CHICHESTER & HUNSTON,10.63/13.1,50.784462,-0.67938668,SZ 93193 99152,30,0,3.22,16.3475630823,0,9,50,Constrained,,,Unconstrained,,,Yes,Yes,"There is no reverse power capacity at the BSB and new generations will requier new BSP Transformer, AVC reinfocement, 33kV switchgear reinforcement at Chichester BSP",33/11,Green
