desc,number,voltage,source,srcBreak,srcName,mounting,siteNo,siteName,_predicate,geometry,latlon,lon,lat,size
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,840022,Weir Hill 33/11kv,INTERSECTS,POINT (351504.94800000003 312086.447),"(-2.7191568883822184, 52.704259348918086)",-2.7191568883822184,52.704259348918086,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,840022,Weir Hill 33/11kv,INTERSECTS,POINT (351504.472 312082.431),"(-2.7191562970899064, 52.704223393294484)",-2.7191562970899064,52.704223393294484,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,840020,ROUSHILL 33KV/11KV S/STN,INTERSECTS,POINT (349180.965 312688.817),"(-2.7536411635628, 52.70945696216405)",-2.7536411635628,52.70945696216405,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,840020,ROUSHILL 33KV/11KV S/STN,INTERSECTS,POINT (349184.984 312693.679),"(-2.753582738443792, 52.70950228270036)",-2.753582738443792,52.70950228270036,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,840025,SPRING GARDENS 33KV/11KV S/STN,INTERSECTS,POINT (350174.234 313871.718),"(-2.739109757973741, 52.72018339684098)",-2.739109757973741,52.72018339684098,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,840025,SPRING GARDENS 33KV/11KV S/STN,INTERSECTS,POINT (350169.705 313851.93200000003),"(-2.7391807355587003, 52.72000315847666)",-2.7391807355587003,52.72000315847666,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,840010,DONNINGTON 33KV/11KV S/STN,INTERSECTS,POINT (370809.067 314412.294),"(-2.4336706015419787, 52.726557828555066)",-2.4336706015419787,52.726557828555066,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,840011,SNEDSHILL 33/11KV S/STN 33KV/11KV S/STN,INTERSECTS,POINT (370194.788 310201.702),"(-2.4423934110281436, 52.68867004404477)",-2.4423934110281436,52.68867004404477,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,840011,SNEDSHILL 33/11KV S/STN 33KV/11KV S/STN,INTERSECTS,POINT (370209.34 310222.492),"(-2.44217341287634, 52.68885964919378)",-2.44217341287634,52.68885964919378,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,840011,SNEDSHILL 33/11KV S/STN 33KV/11KV S/STN,INTERSECTS,POINT (370186.42600000004 310191.97000000003),"(-2.442510851712502, 52.68857970837537)",-2.442510851712502,52.68857970837537,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,680024,KETLEY 33KV/11KV S/STN,INTERSECTS,POINT (367420.14 310833.574),"(-2.4834938640480027, 52.694190956884796)",-2.4834938640480027,52.694190956884796,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,680024,KETLEY 33KV/11KV S/STN,INTERSECTS,POINT (367418.673 310823.69),"(-2.4835224613899824, 52.69410094303975)",-2.4835224613899824,52.69410094303975,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,850006,HOOKGATE 33/11KV 33KV/11KV S/STN,INTERSECTS,POINT (374576.13300000003 335113.407),"(-2.3795126152960346, 52.912835097718705)",-2.3795126152960346,52.912835097718705,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,670122,ALBRIGHTON 33KV/11KV S/STN,INTERSECTS,POINT (383196.196 304392.139),"(-2.2497434693243914, 52.63701167202016)",-2.2497434693243914,52.63701167202016,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,680026,MEAFORD C 132/33/11KV S/STN,INTERSECTS,POINT (388825.832 337149.385),"(-2.167695503338177, 52.93162553550614)",-2.167695503338177,52.93162553550614,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,850010,ECCLESHALL PRIMARY 33/11KV S/STN,INTERSECTS,POINT (382918.467 328367.042),"(-2.2551081732299587, 52.85252534318777)",-2.2551081732299587,52.85252534318777,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,850010,ECCLESHALL PRIMARY 33/11KV S/STN,INTERSECTS,POINT (382919.68 328367.699),"(-2.2550933235407156, 52.85252537512287)",-2.2550933235407156,52.85252537512287,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,680026,MEAFORD C 132/33/11KV S/STN,INTERSECTS,POINT (388824.332 337149.385),"(-2.167710380168705, 52.931625514479045)",-2.167710380168705,52.931625514479045,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,680026,MEAFORD C 132/33/11KV S/STN,INTERSECTS,POINT (388822.532 337149.385),"(-2.1677401338297067, 52.93162547241929)",-2.1677401338297067,52.93162547241929,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,856887,LOWER NEWTON SOLAR FARM 33KV,INTERSECTS,POINT (398834.512 338611.233),"(-2.0187984265391683, 52.94488499464913)",-2.0187984265391683,52.94488499464913,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,850014,SCOT HAY 33/11KV S/STN,INTERSECTS,POINT (380540.522 347153.786),"(-2.291554429157784, 53.02131421256094)",-2.291554429157784,53.02131421256094,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,850015,KNYPERSLEY 33/11KV S/STN,INTERSECTS,POINT (388140.831 355726.805),"(-2.1785751898318417, 53.09860116442099)",-2.1785751898318417,53.09860116442099,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,850015,KNYPERSLEY 33/11KV S/STN,INTERSECTS,POINT (388130.663 355738.658),"(-2.178724981109099, 53.09870880760534)",-2.178724981109099,53.09870880760534,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,680059,STAGEFIELDS 132/33/11KV 132KV/33KV S/STN,INTERSECTS,POINT (388726.037 346271.915),"(-2.169489295352471, 53.01362262282243)",-2.169489295352471,53.01362262282243,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,930068,APOLLO 33KV/11KV S/STN,INTERSECTS,POINT (419718.101 304515.635),"(-1.7100595035938402, 52.63802707284226)",-1.7100595035938402,52.63802707284226,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,930068,APOLLO 33KV/11KV S/STN,INTERSECTS,POINT (419725.075 304515.409),"(-1.709956065222774, 52.6380268199267)",-1.709956065222774,52.6380268199267,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870028,MARCHINGTON 33KV/11KV S/STN,INTERSECTS,POINT (413350.552 331272.449),"(-1.803079059974628, 52.878751257500234)",-1.803079059974628,52.878751257500234,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870028,MARCHINGTON 33KV/11KV S/STN,INTERSECTS,POINT (413354.885 331283.364),"(-1.8030191776968338, 52.87885004133277)",-1.8030191776968338,52.87885004133277,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870026,ROCESTER 33KV/11KV S/STN,INTERSECTS,POINT (410137.93 339181.799),"(-1.8505761279025381, 52.94991679980228)",-1.8505761279025381,52.94991679980228,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870026,ROCESTER 33KV/11KV S/STN,INTERSECTS,POINT (410119.396 339187.006),"(-1.8508438388399853, 52.9499710709522)",-1.8508438388399853,52.9499710709522,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870027,CHURCH ST 33KV/11KV S/STN,INTERSECTS,POINT (409448.265 333545.453),"(-1.8609926593321369, 52.89926579765998)",-1.8609926593321369,52.89926579765998,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870027,CHURCH ST 33KV/11KV S/STN,INTERSECTS,POINT (409455.27400000003 333544.21),"(-1.8608886277014, 52.899256686792604)",-1.8608886277014,52.899256686792604,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,863412,MONEYSTONE QUARRY PV FARM,INTERSECTS,POINT (404559.803 345727.191),"(-1.933504456510321, 53.00883522512755)",-1.933504456510321,53.00883522512755,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,850017,FROGHALL 33/11KV S/STN 33KV/11KV S/STN,INTERSECTS,POINT (402530.985 347233.033),"(-1.96373223923012, 53.02238586396978)",-1.96373223923012,53.02238586396978,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890064,FLAGG 33/11KV S/STN 33KV/11KV S/STN,INTERSECTS,POINT (414659.103 368690.303),"(-1.7819401308945015, 53.21506893198772)",-1.7819401308945015,53.21506893198772,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890063,HINDLOW 33KV/11KV S/STN,INTERSECTS,POINT (409810.95 368276.117),"(-1.8545657531775877, 53.21145813890917)",-1.8545657531775877,53.21145813890917,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,875089,DRAKELOW RENEWABLE ENERGY CENTRE,INTERSECTS,POINT (423289.18 319716.243),"(-1.6562199959151847, 52.77453496690652)",-1.6562199959151847,52.77453496690652,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870010,GRESLEY 33KV/11KV S/STN,INTERSECTS,POINT (427802.452 317965.074),"(-1.5894721011582253, 52.75858218718703)",-1.5894721011582253,52.75858218718703,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870010,GRESLEY 33KV/11KV S/STN,INTERSECTS,POINT (427817.16000000003 317954.505),"(-1.589250768502473, 52.75848253601709)",-1.589250768502473,52.75848253601709,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870010,GRESLEY 33KV/11KV S/STN,INTERSECTS,POINT (427829.223 317945.302),"(-1.5890737200155993, 52.758401016923806)",-1.5890737200155993,52.758401016923806,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,930072,POLESWORTH 33KV/11KV S/STN,INTERSECTS,POINT (426298.066 302088.416),"(-1.613020554628076, 52.615931898179376)",-1.613020554628076,52.615931898179376,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,939140,ATHERSTONE SOLAR FARM 33KV,INTERSECTS,POINT (429691.317 301506.344),"(-1.5629605608064991, 52.610525833471705)",-1.5629605608064991,52.610525833471705,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,939146,BABELAKE ST PACKINGTON 33KV,INTERSECTS,POINT (435597.044 312657.641),"(-1.4745450362135644, 52.7104118975158)",-1.4745450362135644,52.7104118975158,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870013,BARTON UNDER NEEDWOOD 33KV/11KV S/STN,INTERSECTS,POINT (420028.602 317891.862),"(-1.7046689626600033, 52.758259410812855)",-1.7046689626600033,52.758259410812855,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870013,BARTON UNDER NEEDWOOD 33KV/11KV S/STN,INTERSECTS,POINT (420043.433 317877.496),"(-1.704447550383016, 52.7581330059978)",-1.704447550383016,52.7581330059978,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,939150,PRESTOP FM BURTON RD ASHBY 33KV,INTERSECTS,POINT (433918.62700000004 317339.97000000003),"(-1.4989138004655194, 52.75260693703445)",-1.4989138004655194,52.75260693703445,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,930101,ASHBY 33KV/11KV S/STN,INTERSECTS,POINT (435125.096 317996.216),"(-1.4809616478839478, 52.75843597617639)",-1.4809616478839478,52.75843597617639,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,930101,ASHBY 33KV/11KV S/STN,INTERSECTS,POINT (435123.032 317986.492),"(-1.4809923502957913, 52.75834621412766)",-1.4809923502957913,52.75834621412766,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870038,MACKWORTH 33KV/11KV S/STN,INTERSECTS,POINT (432359.02 336016.221),"(-1.5201651373912677, 52.92059160779797)",-1.5201651373912677,52.92059160779797,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870038,MACKWORTH 33KV/11KV S/STN,INTERSECTS,POINT (432348.646 336014.408),"(-1.5203289344592923, 52.920574290036036)",-1.5203289344592923,52.920574290036036,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,875136,INFINITY PARK 33KV/11KV S/STN,INTERSECTS,POINT (436187.891 331430.967),"(-1.4637421679179554, 52.87912498757263)",-1.4637421679179554,52.87912498757263,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,875136,INFINITY PARK 33KV/11KV S/STN,INTERSECTS,POINT (436178.038 331441.126),"(-1.4638746734833972, 52.87922446947105)",-1.4638746734833972,52.87922446947105,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870031,HATTON 33/11KV S/STN,INTERSECTS,POINT (421529.683 329633.164),"(-1.6816583651963901, 52.863754531732404)",-1.6816583651963901,52.863754531732404,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870031,HATTON 33/11KV S/STN,INTERSECTS,POINT (421531.88 329639.869),"(-1.6816282638557885, 52.86380838756011)",-1.6816282638557885,52.86380838756011,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870032,STATION STREET 33/11KV S/STN,INTERSECTS,POINT (424907.86 323024.328),"(-1.6319857517272722, 52.80419971085611)",-1.6319857517272722,52.80419971085611,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870032,STATION STREET 33/11KV S/STN,INTERSECTS,POINT (424884.048 323013.10000000003),"(-1.6323277456307053, 52.804101885404286)",-1.6323277456307053,52.804101885404286,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870041,SINFIN LANE 33KV/11KV S/STN,INTERSECTS,POINT (435459.065 332361.021),"(-1.4744578751775659, 52.887542034517686)",-1.4744578751775659,52.887542034517686,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870041,SINFIN LANE 33KV/11KV S/STN,INTERSECTS,POINT (435467.199 332362.529),"(-1.474338877111207, 52.887550497663085)",-1.474338877111207,52.887550497663085,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870039,DARLEY ABBEY 33KV/11KV S/STN,INTERSECTS,POINT (434649.906 338624.363),"(-1.4858294440979793, 52.94389233281226)",-1.4858294440979793,52.94389233281226,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870039,DARLEY ABBEY 33KV/11KV S/STN,INTERSECTS,POINT (434650.536 338638.42100000003),"(-1.4858130723157283, 52.944018112895414)",-1.4858130723157283,52.944018112895414,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870040,NORMANTON 33KV/11KV S/STN,INTERSECTS,POINT (434246.092 333623.38800000004),"(-1.4923520640172467, 52.8989644692356)",-1.4923520640172467,52.8989644692356,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870040,NORMANTON 33KV/11KV S/STN,INTERSECTS,POINT (434240.079 333626.624),"(-1.492440939832367, 52.898991817037135)",-1.492440939832367,52.898991817037135,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870035,TRENT ALLOYS 33KV/11KV S/STN,INTERSECTS,POINT (429429.617 328172.71),"(-1.5644488248548751, 52.850249162531476)",-1.5644488248548751,52.850249162531476,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870029,WELLINGTON ST 33/11KV S/STN,INTERSECTS,POINT (423502.918 322818.924),"(-1.6528409805501192, 52.80241066018562)",-1.6528409805501192,52.80241066018562,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870029,WELLINGTON ST 33/11KV S/STN,INTERSECTS,POINT (423512.987 322811.119),"(-1.6526931566222973, 52.80234730145902)",-1.6526931566222973,52.80234730145902,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870043,ALLENTON 33KV/11KV S/STN,INTERSECTS,POINT (436882.107 333101.97000000003),"(-1.4532268288682533, 52.89409843576664)",-1.4532268288682533,52.89409843576664,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870043,ALLENTON 33KV/11KV S/STN,INTERSECTS,POINT (436886.815 333102.424),"(-1.4531672623270586, 52.894107151143565)",-1.4531672623270586,52.894107151143565,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870043,ALLENTON 33KV/11KV S/STN,INTERSECTS,POINT (436876.548 333104.286),"(-1.453315669905266, 52.89412581276882)",-1.453315669905266,52.89412581276882,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870042,MORLEY 33/11KV S/STN,INTERSECTS,POINT (439486.31200000003 341393.618),"(-1.413516651361945, 52.9684491874419)",-1.413516651361945,52.9684491874419,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870042,MORLEY 33/11KV S/STN,INTERSECTS,POINT (439487.36600000004 341409.32),"(-1.4134998167532011, 52.968592933880515)",-1.4134998167532011,52.968592933880515,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890076,BELPER 33KV/11KV S/STN,INTERSECTS,POINT (435217.52 346577.762),"(-1.4765144426654107, 53.01534357719844)",-1.4765144426654107,53.01534357719844,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890076,BELPER 33KV/11KV S/STN,INTERSECTS,POINT (435204.548 346573.061),"(-1.476708643053819, 53.01530847439502)",-1.476708643053819,53.01530847439502,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890082,DENBY 33KV/11KV S/STN,INTERSECTS,POINT (438338.838 346634.271),"(-1.4299893285681613, 53.01564219004029)",-1.4299893285681613,53.01564219004029,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890082,DENBY 33KV/11KV S/STN,INTERSECTS,POINT (438345.748 346624.297),"(-1.429886177507614, 53.01555180322935)",-1.429886177507614,53.01555180322935,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890088,RIPLEY 33KV/11KV S/STN,INTERSECTS,POINT (439862.927 351307.889),"(-1.4066980828189863, 53.05753506044991)",-1.4066980828189863,53.05753506044991,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890088,RIPLEY 33KV/11KV S/STN,INTERSECTS,POINT (439861.242 351297.428),"(-1.4067142364611518, 53.057445248860304)",-1.4067142364611518,53.057445248860304,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870033,RAVENSDALE PARK 33KV/11KV S/STN,INTERSECTS,POINT (426943.96 344861.973),"(-1.5999831836331304, 53.00039716450804)",-1.5999831836331304,53.00039716450804,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,870033,RAVENSDALE PARK 33KV/11KV S/STN,INTERSECTS,POINT (426967.284 344879.615),"(-1.5996240839952907, 53.00055776285349)",-1.5996240839952907,53.00055776285349,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890077,AMBERGATE 33KV/11KV S/STN,INTERSECTS,POINT (434755.362 351866.619),"(-1.4828322822251874, 53.06291511213951)",-1.4828322822251874,53.06291511213951,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890077,AMBERGATE 33KV/11KV S/STN,INTERSECTS,POINT (434764.324 351860.043),"(-1.4826986346940596, 53.06286059647962)",-1.4826986346940596,53.06286059647962,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890067,LONGCLIFFE 33KV/11KV S/STN,INTERSECTS,POINT (422909.026 355350.093),"(-1.6593487680181405, 53.09486895069131)",-1.6593487680181405,53.09486895069131,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890067,LONGCLIFFE 33KV/11KV S/STN,INTERSECTS,POINT (422916.954 355361.814),"(-1.6592434573175747, 53.09496752920287)",-1.6592434573175747,53.09496752920287,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890068,MILLCLOSE 33/11KV S/STN 33KV/11KV S/STN,INTERSECTS,POINT (425761.994 362363.795),"(-1.6161995774911195, 53.15777779701248)",-1.6161995774911195,53.15777779701248,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890068,MILLCLOSE 33/11KV S/STN 33KV/11KV S/STN,INTERSECTS,POINT (425773.112 362362.627),"(-1.616020202147118, 53.157768230303866)",-1.616020202147118,53.157768230303866,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890016,GOITSIDE 33KV/6.6KV S/STN,INTERSECTS,POINT (437210.22500000003 370848.139),"(-1.4440018745240797, 53.23337038503457)",-1.4440018745240797,53.23337038503457,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890016,GOITSIDE 33KV/6.6KV S/STN,INTERSECTS,POINT (437212.025 370848.135),"(-1.443971913354946, 53.23337024534753)",-1.443971913354946,53.23337024534753,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890095,BIWATER 33/11KV S/STN,INTERSECTS,POINT (439824.489 364246.131),"(-1.4056640215101117, 53.17384016439897)",-1.4056640215101117,53.17384016439897,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890081,ROBERT HYDE 33KV/11KV S/STN,INTERSECTS,POINT (438859.648 370576.75),"(-1.419332042772598, 53.230807825479076)",-1.419332042772598,53.230807825479076,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890081,ROBERT HYDE 33KV/11KV S/STN,INTERSECTS,POINT (438855.273 370579.321),"(-1.419391596640964, 53.23083508227776)",-1.419391596640964,53.23083508227776,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890079,QUEENS PARK 33KV/11KV S/STN,INTERSECTS,POINT (438062.563 370845.958),"(-1.4312387964703015, 53.23328323158605)",-1.4312387964703015,53.23328323158605,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890079,QUEENS PARK 33KV/11KV S/STN,INTERSECTS,POINT (438055.31200000003 370853.434),"(-1.4313427076946637, 53.23335563859395)",-1.4313427076946637,53.23335563859395,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890065,BAKEWELL 33KV/11KV S/STN,INTERSECTS,POINT (420842.912 368856.213),"(-1.6893407137651957, 53.21635589258365)",-1.6893407137651957,53.21635589258365,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890066,EYAM 33KV/11KV S/STN,INTERSECTS,POINT (421902.063 375948.392),"(-1.6729818032746624, 53.28006093684796)",-1.6729818032746624,53.28006093684796,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890066,EYAM 33KV/11KV S/STN,INTERSECTS,POINT (421895.818 375936.44800000003),"(-1.6730876072815588, 53.27995336131938)",-1.6730876072815588,53.27995336131938,10
WPD Ground Mounted Substation,,33KV,,,,Ground Mounted,890074,MATLOCK 33/11KV S/STN,INTERSECTS,POINT (430152.605 360285.488),"(-1.5507291268869097, 53.13886981087912)",-1.5507291268869097,53.13886981087912,10
